"Var1";"Var2";"Freq"
"1";"(1,2]";"A";0,72463768115942
"2";"(2,3]";"A";0,72463768115942
"3";"(3,4]";"A";0
"4";"(4,5]";"A";0,72463768115942
"5";"(5,6]";"A";4,34782608695652
"6";"(6,7]";"A";3,6231884057971
"7";"(7,8]";"A";8,69565217391304
"8";"(8,9]";"A";10,1449275362319
"9";"(9,10]";"A";13,768115942029
"10";"(10,11]";"A";13,0434782608696
"11";"(11,12]";"A";14,4927536231884
"12";"(12,13]";"A";13,0434782608696
"13";"(13,14]";"A";7,97101449275362
"14";"(14,15]";"A";6,52173913043478
"15";"(15,16]";"A";2,17391304347826
"16";"(16,17]";"A";0
"17";"(17,18]";"A";0
"18";"(18,19]";"A";0
"19";"(19,20]";"A";0
