"season";"year";"temp"
"1";"DJF";2000;4,65333333333333
"2";"MAM";2000;3,14666666666667
"3";"JJA";2000;5,89333333333333
"4";"SON";2000;7,53
"5";"DJF";2001;4,42
"6";"MAM";2001;3,12
"7";"JJA";2001;6,70333333333333
"8";"SON";2001;7,33333333333333
"9";"DJF";2002;3,82666666666667
"10";"MAM";2002;3,09333333333333
"11";"JJA";2002;6,96333333333333
"12";"SON";2002;7,2
"13";"DJF";2003;3,82666666666667
"14";"MAM";2003;2,76
"15";"JJA";2003;6,74
"16";"SON";2003;7,53
"17";"DJF";2004;4,45666666666667
"18";"MAM";2004;3,54333333333333
"19";"JJA";2004;7,62
"20";"SON";2004;7,47333333333333
"21";"DJF";2005;4,73
"22";"MAM";2005;3,16
"23";"JJA";2005;7,13666666666667
"24";"SON";2005;7,93666666666667
"25";"DJF";2006;4,94666666666667
"26";"MAM";2006;3,86
"27";"JJA";2006;6,81666666666667
"28";"SON";2006;7,54666666666667
"29";"DJF";2007;4,91
"30";"MAM";2007;3,71666666666667
"31";"JJA";2007;7,25
"32";"SON";2007;7,93666666666667
"33";"DJF";2008;4,92333333333333
"34";"MAM";2008;3,50666666666667
"35";"JJA";2008;6,44333333333333
"36";"SON";2008;7,08333333333333
"37";"DJF";2009;4,70333333333333
"38";"MAM";2009;3,30666666666667
"39";"JJA";2009;6,41333333333333
"40";"SON";2009;7,34
"41";"DJF";2010;4,44666666666667
"42";"MAM";2010;3,29666666666667
"43";"JJA";2010;6,72333333333333
"44";"SON";2010;7,27666666666667
"45";"DJF";2011;4,30333333333333
"46";"MAM";2011;2,99333333333333
"47";"JJA";2011;6,90666666666667
"48";"SON";2011;7,66333333333333
"49";"DJF";2012;4,75
"50";"MAM";2012;3,58333333333333
"51";"JJA";2012;7,14333333333333
"52";"SON";2012;7,53666666666667
"53";"DJF";2013;4,68
"54";"MAM";2013;3,52333333333333
"55";"JJA";2013;8,02666666666667
"56";"SON";2013;8,51333333333333
