year;tidal_level;sample;Length.mm
2006;middle;sgl1;6
2006;middle;sgl1;6
2006;middle;sgl1;2,1
2006;middle;sgl1;8,1
2006;middle;sgl1;6
2006;middle;sgl1;1,8
2006;middle;sgl1;8,6
2006;middle;sgl1;7
2006;middle;sgl1;1,7
2006;middle;sgl1;8,1
2006;middle;sgl1;5,2
2006;middle;sgl1;1,6
2006;middle;sgl1;6,3
2006;middle;sgl1;6,4
2006;middle;sgl1;1,5
2006;middle;sgl1;6,6
2006;middle;sgl1;8,2
2006;middle;sgl1;1,5
2006;middle;sgl1;9,1
2006;middle;sgl1;10
2006;middle;sgl1;1,3
2006;middle;sgl1;5,7
2006;middle;sgl1;5,3
2006;middle;sgl2;9,2
2006;middle;sgl2;1,7
2006;middle;sgl2;4,5
2006;middle;sgl2;1,6
2006;middle;sgl2;1,7
2006;middle;sgl2;7,8
2006;middle;sgl2;8,3
2006;middle;sgl2;2
2006;middle;sgl2;4,2
2006;middle;sgl2;4,6
2006;middle;sgl2;1,7
2006;middle;sgl2;4,7
2006;middle;sgl2;1,7
2006;middle;sgl2;7,7
2006;middle;sgl2;4,6
2006;middle;sgl2;7,7
2006;middle;sgl2;1,7
2006;middle;sgl2;7,7
2006;middle;sgl3;11,5
2006;middle;sgl3;10,7
2006;middle;sgl3;10,1
2006;middle;sgl3;5,4
2006;middle;sgl3;7,5
2006;middle;sgl3;7,1
2006;middle;sgl3;6
2006;middle;sgl3;10,6
2006;middle;sgl3;7,1
2006;middle;sgl3;1,3
2006;middle;sgl3;6,1
2006;middle;sgl3;1,8
2006;middle;sgl3;7,3
2006;middle;sgl3;1,8
2006;middle;sgl3;1,7
2006;middle;sgl4;10,5
2006;middle;sgl4;6,5
2006;middle;sgl4;11
2006;middle;sgl4;1,7
2006;middle;sgl4;2,6
2006;middle;sgl4;9,9
2006;middle;sgl4;9
2006;middle;sgl4;6
2006;middle;sgl4;3
2006;middle;sgl4;1,6
2006;middle;sgl4;10,6
2006;middle;sgl4;7,3
2006;middle;sgl4;5,6
2006;middle;sgl4;1,6
2006;middle;sgl4;1,5
2006;middle;sgl4;9,2
2006;middle;sgl4;6,5
2006;middle;sgl4;5,9
2006;middle;sgl4;1,6
2006;middle;sgl4;1,6
2006;middle;sgl4;9
2006;middle;sgl4;8,3
2006;middle;sgl4;7
2006;middle;sgl4;1,8
2006;middle;sgl4;2
2006;middle;sgl4;11,5
2006;middle;sgl4;7,5
2006;middle;sgl4;4,5
2006;middle;sgl4;1,6
2006;middle;sgl4;1,7
2006;middle;sgl4;7,3
2006;middle;sgl4;8
2006;middle;sgl4;1,7
2006;middle;sgl4;1,5
2006;middle;sgl4;2
2006;middle;sgl4;11,3
2006;middle;sgl4;9,1
2006;middle;sgl4;1,4
2006;middle;sgl4;1,6
2006;middle;sgl5;8,5
2006;middle;sgl5;7,4
2006;middle;sgl5;6,5
2006;middle;sgl5;6,8
2006;middle;sgl5;5,5
2006;middle;sgl5;5,6
2006;middle;sgl5;2,7
2006;middle;sgl5;1,5
2006;middle;sgl5;1,5
2006;middle;sgl5;1,4
2006;middle;sgl5;9,5
2006;middle;sgl5;1,5
2006;middle;sgl5;7,7
2006;middle;sgl5;6,2
2006;middle;sgl5;6,7
2006;middle;sgl5;9,2
2006;middle;sgl5;4,5
2006;middle;sgl5;6,6
2006;middle;sgl5;10,7
2006;middle;sgl5;6,8
