"";"year";"(0,1]";"(1,2]";"(2,3]";"(3,4]";"(4,5]";"(5,6]";"(6,7]";"(7,8]";"(8,9]";"(9,10]";"(10,11]";"(11,12]";"(12,13]";"(13,14]";"(14,15]";"(15,16]";"(16,17]";"(17,18]";"(18,19]";"(19,20]";""
"mbb1";1994;0;1;19;2;2;2;2;0;4;7;10;4;1;0;0;0;0;0;1;0;55
"mbb2";1994;0;0;4;8;4;1;2;1;2;3;1;1;0;0;1;3;3;0;0;1;35
"mbb1";1995;0;1;5;5;1;2;8;2;6;2;1;3;4;2;4;2;0;0;0;0;48
"mbb2";1995;0;3;1;2;0;2;6;7;8;3;1;2;7;1;5;2;0;0;0;0;50
"mbb1";1996;0;0;0;1;1;0;0;1;1;2;2;0;0;0;5;0;0;0;0;0;13
"mbb2";1996;0;0;2;4;2;1;2;2;5;7;5;0;4;2;1;1;1;0;0;0;39
"mbb1";1997;0;1;0;0;0;0;0;0;3;2;3;2;0;1;1;0;0;0;0;0;13
"mbb2";1997;0;0;0;1;0;0;0;4;7;2;5;8;1;2;1;0;0;0;0;0;31
"mbb1";1998;0;16;8;0;2;4;1;1;0;2;1;2;8;6;4;1;1;0;0;0;57
"mbb2";1998;5;46;1;0;0;3;4;1;1;2;4;5;11;14;2;0;0;0;0;0;99
"mbb1";1999;148;545;78;110;80;44;14;10;12;4;5;6;5;8;6;1;4;1;0;0;1081
"mbb2";1999;3;516;66;37;57;53;25;4;6;1;0;2;3;2;0;1;0;0;0;0;776
"mbb1";2000;10;103;48;22;9;15;12;14;8;4;0;0;3;4;3;0;0;1;1;0;257
"mbb2";2000;17;174;83;28;9;11;10;12;5;2;0;0;0;1;0;0;0;0;0;0;352
"mbb1";2001;5;21;46;35;25;16;10;18;31;5;6;3;2;1;3;0;0;0;0;0;227
"mbb2";2001;16;21;43;46;18;19;27;41;24;25;2;5;3;5;1;0;0;0;0;1;297
"mbb1";2002;8;11;10;28;26;21;28;21;22;28;7;1;2;5;1;1;0;0;0;0;220
"mbb2";2002;13;14;28;44;39;32;36;29;46;38;9;3;3;2;3;0;0;0;0;0;339
"mbb1";2003;0;5;4;10;15;26;21;18;30;24;5;1;3;0;1;0;0;0;0;0;163
"mbb2";2003;1;1;8;21;20;30;33;31;26;28;11;6;3;3;1;0;1;0;0;0;224
"mbb1";2004;13;105;13;2;1;9;14;25;31;23;12;6;0;0;0;0;0;0;0;0;254
"mbb2";2004;41;56;3;4;7;16;20;38;32;34;14;4;1;1;0;0;0;0;0;0;271
"mbb1";2005;28;29;12;6;7;9;20;29;32;34;12;3;0;0;1;0;0;0;0;0;222
"mbb2";2005;12;9;3;2;8;8;20;39;38;28;7;6;3;0;0;0;0;0;0;0;183
"mbb1";2006;3;16;2;0;0;1;1;2;10;21;5;4;0;1;0;0;0;0;0;0;66
"mbb2";2006;5;8;2;1;2;4;4;13;22;21;17;2;0;0;0;0;0;0;0;0;101
"mbb1";2007;0;7;0;2;1;0;0;6;14;26;20;9;1;1;0;0;0;0;0;0;87
"mbb2";2007;1;13;3;2;1;3;5;8;21;35;23;9;1;0;0;0;0;0;0;0;125
"mbb1";2008;4;53;10;6;9;18;5;1;4;9;15;6;1;1;0;0;0;0;0;0;142
"mbb2";2008;3;73;23;8;2;3;2;12;20;31;32;22;2;0;0;0;0;0;0;0;233
"mbb1";2009;16;40;30;17;14;5;4;4;7;14;27;15;4;0;0;0;0;0;0;0;197
"mbb2";2009;19;59;24;9;5;2;4;4;12;21;19;9;0;0;0;0;0;0;0;0;187
"mbb1";2010;6;10;13;8;10;7;9;8;7;10;10;23;6;1;0;0;0;0;0;0;128
"mbb2";2010;3;40;21;15;13;9;7;8;11;25;39;23;2;0;1;0;0;0;0;0;217
"mbb1";2011;6;13;1;4;8;2;8;11;11;17;6;8;3;0;0;0;0;0;0;0;98
"mbb2";2011;15;19;19;8;12;9;12;14;21;18;45;18;3;1;0;0;0;0;0;0;214
"mbb1";2012;1;6;0;0;2;2;2;4;19;10;3;8;1;0;0;0;0;0;0;0;58
"mbb2";2012;9;21;7;7;5;4;9;10;14;12;13;17;6;0;0;0;0;0;0;0;134
