;Estuary;Lomnishniy;Goreliy_high;Goreliy_low;Goreliy_middle;Goreliy_midlow;razrez2_fucus_zone;razrez2_high_beatch;razrez2_low_beatch;razrez2_zostera_zone;YuG;ZRS
Estuary;1;0,0857142857;0,7363636364;0,6109850158;0,5834586466;0,4507957367;0,9181818182;0,8636363636;0,7212121212;0,7909090909;0,7132867133;0,8070175439
Lomnishniy;0,0857142857;1;-0,7142857143;-0,3142857143;0,3142857143;-0,0285714286;NA;NA;NA;NA;0,5428571429;0,7714285714
Goreliy_high;0,7363636364;-0,7142857143;1;0,4835881401;0,7684210526;0,4949659241;0,8727272727;0,8545454545;0,7939393939;0,8636363636;0,2797202797;0,8175438596
Goreliy_low;0,6109850158;-0,3142857143;0,4835881401;1;0,4501320144;0,706762178;0,9;0,9272727273;0,6121212121;0,6363636364;0,1052638059;0,4857272551
Goreliy_middle;0,5834586466;0,3142857143;0,7684210526;0,4501320144;1;0,5761564905;0,9272727273;0,903030303;0,9;0,8787878788;0,4545454545;0,6615067079
Goreliy_midlow;0,4507957367;-0,0285714286;0,4949659241;0,706762178;0,5761564905;1;0,6545454545;0,6636363636;0,696969697;0,6;0,1258741259;0,373848215
razrez2_fucus_zone;0,9181818182;NA;0,8727272727;0,9;0,9272727273;0,6545454545;1;0,9363636364;0,6606060606;0,8090909091;-1;0,9333333333
razrez2_high_beatch;0,8636363636;NA;0,8545454545;0,9272727273;0,903030303;0,6636363636;0,9363636364;1;0,7575757576;0,7727272727;1;0,8666666667
razrez2_low_beatch;0,7212121212;NA;0,7939393939;0,6121212121;0,9;0,696969697;0,6606060606;0,7575757576;1;0,7333333333;NA;0,5238095238
razrez2_zostera_zone;0,7909090909;NA;0,8636363636;0,6363636364;0,8787878788;0,6;0,8090909091;0,7727272727;0,7333333333;1;-1;0,7833333333
YuG;0,7132867133;0,5428571429;0,2797202797;0,1052638059;0,4545454545;0,1258741259;-1;1;NA;-1;1;0,6363636364
ZRS;0,8070175439;0,7714285714;0,8175438596;0,4857272551;0,6615067079;0,373848215;0,9333333333;0,8666666667;0,5238095238;0,7833333333;0,6363636364;1
