taxon;species
Amphipoda;Atylus carinatus
Amphipoda;Classicorophium(Corophium) bonelli
Amphipoda;Gammarus sp
Amphipoda;Monoculodes sp.
Amphipoda;Pontoporea affinis
Amphipoda;Pseudalibrotus littoralis
Amphipoda;Priscillina armata
Amphipoda;Pontoporea femorata
Bivalvia;Macoma balthica
Bivalvia;Mya arenaria
Bivalvia;Mytilus edulis
Bivalvia;Serripes groenlandica
Cumacea;Diastylis sulcata
Cumacea;Diastilus sulcata
Decapoda;Crangon crangon
Diptera;Chironomidae larvae
Diptera;Dolichopodidae larvae
Gastropoda;Cylichna alba
Gastropoda;Cylichna occulta
Gastropoda;Epheria vincta
Gastropoda;Hydrobia ulvae
Gastropoda;Limaponlia cocksi
Gastropoda;Littorina littorea
Gastropoda;Littorina obtusata
Gastropoda;Littorina saxatilis
Gastropoda;Skeneopsis planorbis
Isopoda;Jaera sp
Nemertini;Nemertini indet.
Oligochaeta;Clitellio arenarius
Oligochaeta;Enchytraeidae gen. sp.
Oligochaeta;Oligochaeta
Oligochaeta;Paranais littoralis
Oligochaeta;Tubifex costatus
Polychaeta;Alitte virens
Polychaeta;Arenicola marina 
Polychaeta;Capitella capitata
Polychaeta;Eteone longa
Polychaeta;Fabricia sabella
Polychaeta;Harmathoe imbricata
Polychaeta;Micronephthys minuta
Polychaeta;Microspio theli
Polychaeta;Nephthys sp.
Polychaeta;Ophelia limacina
Polychaeta;Pectinaria sp.
Polychaeta;Phyllodoce groenlandica
Polychaeta;Polydora quadrilobata
Polychaeta;Pygospio elegans
Polychaeta;Scalibregma inflatum
Polychaeta;Scoloplos armiger
Polychaeta;Spio filicornis
Polychaeta;Spionidae gen. sp.
Polychaeta;Travisia forbesii
Polychaeta;Tubificoides benedeni
Polychaeta;Nereimyra (Castalia) punctata
Polychaeta;Chaetozone setosa
Priapulida;Halicryptus spinulosus
Priapulida;Priapulus caudatus
