"high";"low";"middle";"midlow"
"1992";30;2,35294117647059;31,7647058823529;5,88235294117647
"1993";33,0769230769231;22,3076923076923;110,769230769231;56,1538461538462
"1994";305;97,5;340;455
"1995";52,5;275;177,5;437,5
"1996";65;105;360;117,5
"1997";40;95;145;45
"1998";232,5;280;600;580
"1999";790;895;2007,5;1060
"2000";1525;180;1200;337,5
"2001";757,5;210;882,5;560
"2002";595;232,5;NA;182,5
"2003";527,5;385;527,5;677,5
"2004";655;385;425;260
"2005";765;207,5;572,5;337,5
"2006";550;190;477,5;162,5
"2007";485;165;497,5;135
"2008";275;185;685;257,5
"2009";465;117,5;320;197,5
"2010";225;285;172,5;332,5
"2011";500;275;302,5;397,5
"2012";450;210;447,5;190
