#young — 1-2 mm = osobi schitaemye 1+ v momet year+1. Old — polovozrelye osobi = >8mm v moment year;;;;;
area;tidal_zone;year;area_code;young;old
Luvenga_estuary;middle;1992;est1992;16,6666666667;50
Luvenga_estuary;middle;1993;est1993;140;28,3333333333
Luvenga_estuary;middle;1994;est1994;96,6666666667;313,3333333333
Luvenga_estuary;middle;1995;est1995;20;233,3333333333
Luvenga_estuary;middle;1996;est1996;0;203,3333333333
Luvenga_estuary;middle;1997;est1997;490;156,6666666667
Luvenga_estuary;middle;1998;est1998;1420;180
Luvenga_estuary;middle;1999;est1999;183,3333333333;36,6666666667
Luvenga_estuary;middle;2000;est2000;243,3333333333;116,6666666667
Luvenga_estuary;middle;2001;est2001;130;310
Luvenga_estuary;middle;2002;est2002;576,6666666667;306,6666666667
Luvenga_estuary;middle;2003;est2003;1450;743,3333333333
Luvenga_estuary;middle;2004;est2004;396,6666666667;970
Luvenga_estuary;middle;2005;est2005;136,6666666667;640
Luvenga_estuary;middle;2006;est2006;1503,3333333333;473,3333333333
Luvenga_estuary;middle;2007;est2007;640;550
Luvenga_estuary;middle;2008;est2008;733,3333333333;510
Luvenga_estuary;middle;2009;est2009;576,6666666667;373,3333333333
Luvenga_estuary;middle;2010;est2010;196,6666666667;570
Luvenga_estuary;middle;2011;est2011;163,3333333333;800
Lomnishniy;low;2007;lom2007;1116;24
Lomnishniy;low;2008;lom2008;99;138
Lomnishniy;low;2009;lom2009;45;135
Lomnishniy;low;2010;lom2010;78;168
Lomnishniy;low;2011;lom2011;246;39
YuG;low;2001;yug2001;429,375;110
YuG;low;2002;yug2002;960;144,375
YuG;low;2003;yug2003;1200;76
YuG;low;2004;yug2004;338;2,3076923077
YuG;low;2005;yug2005;337,5;10
YuG;low;2006;yug2006;932;5
YuG;low;2007;yug2007;708;24
YuG;low;2008;yug2008;466;69
YuG;low;2009;yug2009;210;160
YuG;low;2010;yug2010;126;138
YuG;low;2011;yug2011;106;62
ZRS;middle;1994;zrs1994;35;210
ZRS;middle;1995;zrs1995;10;270
ZRS;middle;1996;zrs1996;5;180
ZRS;middle;1997;zrs1997;345;195
ZRS;middle;1998;zrs1998;5755;320
ZRS;middle;1999;zrs1999;1810;345
ZRS;middle;2000;zrs2000;400;175
ZRS;middle;2001;zrs2001;175;620
ZRS;middle;2002;zrs2002;55;880
ZRS;middle;2003;zrs2003;855;740
ZRS;middle;2004;zrs2004;235;815
ZRS;middle;2005;zrs2005;135;860
ZRS;middle;2006;zrs2006;110;525
ZRS;middle;2007;zrs2007;725;820
ZRS;middle;2008;zrs2008;665;715
ZRS;middle;2009;zrs2009;330;650
ZRS;middle;2010;zrs2010;195;805
ZRS;middle;2011;zrs2011;155;780
Goreliy;high;1992;gorh1992;;
Goreliy;high;1993;gorh1993;;
Goreliy;high;1994;gorh1994;;
Goreliy;high;1995;gorh1995;;
Goreliy;high;1996;gorh1996;;
Goreliy;high;1997;gorh1997;;
Goreliy;high;1998;gorh1998;;
Goreliy;high;1999;gorh1999;;
Goreliy;high;2000;gorh2000;;
Goreliy;high;2001;gorh2001;;
Goreliy;high;2002;gorh2002;;
Goreliy;high;2003;gorh2003;;
Goreliy;high;2004;gorh2004;;
Goreliy;high;2005;gorh2005;;
Goreliy;high;2006;gorh2006;;
Goreliy;high;2007;gorh2007;;
Goreliy;high;2008;gorh2008;;
Goreliy;high;2009;gorh2009;;
Goreliy;high;2010;gorh2010;;
Goreliy;high;2011;gorh2011;;
Goreliy;low;1992;gorl1992;;
Goreliy;low;1993;gorl1993;;
Goreliy;low;1994;gorl1994;;
Goreliy;low;1995;gorl1995;;
Goreliy;low;1996;gorl1996;;
Goreliy;low;1997;gorl1997;;
Goreliy;low;1998;gorl1998;;
Goreliy;low;1999;gorl1999;;
Goreliy;low;2000;gorl2000;;
Goreliy;low;2001;gorl2001;;
Goreliy;low;2002;gorl2002;;
Goreliy;low;2003;gorl2003;;
Goreliy;low;2004;gorl2004;;
Goreliy;low;2005;gorl2005;;
Goreliy;low;2006;gorl2006;;
Goreliy;low;2007;gorl2007;;
Goreliy;low;2008;gorl2008;;
Goreliy;low;2009;gorl2009;;
Goreliy;low;2010;gorl2010;;
Goreliy;low;2011;gorl2011;;
Goreliy;middle;1992;gorm1992;;
Goreliy;middle;1993;gorm1993;;
Goreliy;middle;1994;gorm1994;;
Goreliy;middle;1995;gorm1995;;
Goreliy;middle;1996;gorm1996;;
Goreliy;middle;1997;gorm1997;;
Goreliy;middle;1998;gorm1998;;
Goreliy;middle;1999;gorm1999;;
Goreliy;middle;2000;gorm2000;;
Goreliy;middle;2001;gorm2001;;
Goreliy;middle;2002;gorm2002;;
Goreliy;middle;2003;gorm2003;;
Goreliy;middle;2004;gorm2004;;
Goreliy;middle;2005;gorm2005;;
Goreliy;middle;2006;gorm2006;;
Goreliy;middle;2007;gorm2007;;
Goreliy;middle;2008;gorm2008;;
Goreliy;middle;2009;gorm2009;;
Goreliy;middle;2010;gorm2010;;
Goreliy;middle;2011;gorm2011;;
Goreliy;midlow;1992;gorml1992;;
Goreliy;midlow;1993;gorml1993;;
Goreliy;midlow;1994;gorml1994;;
Goreliy;midlow;1995;gorml1995;;
Goreliy;midlow;1996;gorml1996;;
Goreliy;midlow;1997;gorml1997;;
Goreliy;midlow;1998;gorml1998;;
Goreliy;midlow;1999;gorml1999;;
Goreliy;midlow;2000;gorml2000;;
Goreliy;midlow;2001;gorml2001;;
Goreliy;midlow;2002;gorml2002;;
Goreliy;midlow;2003;gorml2003;;
Goreliy;midlow;2004;gorml2004;;
Goreliy;midlow;2005;gorml2005;;
Goreliy;midlow;2006;gorml2006;;
Goreliy;midlow;2007;gorml2007;;
Goreliy;midlow;2008;gorml2008;;
Goreliy;midlow;2009;gorml2009;;
Goreliy;midlow;2010;gorml2010;;
Goreliy;midlow;2011;gorml2011;;
razrez2;fucus_zone;1992;matf1992;;
razrez2;fucus_zone;1993;matf1993;;
razrez2;fucus_zone;1994;matf1994;;
razrez2;fucus_zone;1995;matf1995;;
razrez2;fucus_zone;1996;matf1996;;
razrez2;fucus_zone;1997;matf1997;;
razrez2;fucus_zone;1998;matf1998;;
razrez2;fucus_zone;1999;matf1999;;
razrez2;high_beatch;1992;math1992;;
razrez2;high_beatch;1993;math1993;;
razrez2;high_beatch;1994;math1994;;
razrez2;high_beatch;1995;math1995;;
razrez2;high_beatch;1996;math1996;;
razrez2;high_beatch;1997;math1997;;
razrez2;high_beatch;1998;math1998;;
razrez2;high_beatch;1999;math1999;;
razrez2;low_beatch;1992;matl1992;;
razrez2;low_beatch;1993;matl1993;;
razrez2;low_beatch;1994;matl1994;;
razrez2;low_beatch;1995;matl1995;;
razrez2;low_beatch;1996;matl1996;;
razrez2;low_beatch;1997;matl1997;;
razrez2;low_beatch;1998;matl1998;;
razrez2;low_beatch;1999;matl1999;;
razrez2;zostera_zone;1992;matz1992;;
razrez2;zostera_zone;1993;matz1993;;
razrez2;zostera_zone;1994;matz1994;;
razrez2;zostera_zone;1995;matz1995;;
razrez2;zostera_zone;1996;matz1996;;
razrez2;zostera_zone;1997;matz1997;;
razrez2;zostera_zone;1998;matz1998;;
razrez2;zostera_zone;1999;matz1999;;
